Mouse;Human
Gtf2e2;GTF2E2
Gtf2f1;GTF2F1
Gtf2f2;GTF2F2
Gtf3a;GTF3A
Gtf3c3;GTF3C3
Gtf3c6;GTF3C6
Gtpbp1;GTPBP1
Guk1;GUK1
H2afv;H2AFV
H3f3b;H3F3B
Hat1;HAT1
Hax1;HAX1
Hcfc1;HCFC1
Hdhd2;IER3IP1
Hdlbp;HDLBP
Herpud2;HERPUD2
Hgs;HGS
Higd1a;HIGD1A
Hint1;HINT1
Hipk1;HIPK1
Hmgxb3;HMGXB3
Hnrnpa1;HNRNPA1
Hnrnpa2b1;HNRNPA2B1
Hnrnpab;HNRNPAB
Hnrnpd;HNRNPD
Hnrnpdl;HNRNPDL
Hnrnpm;HNRNPM
Hnrnpu;HNRNPU
Hnrnpul1;HNRNPUL1
Hnrnpul2;HNRNPUL2
Hp1bp3;HP1BP3
Hsbp1;HSBP1
Hsd17b12;HSD17B12
Hsf1;HSF1
Hsp90ab1;HSP90AB1
Hsp90b1;HSP90B1
Hspa4;HSPA4
Hspe1;HSPE1
Htatsf1;HTATSF1
Htt;HTT
Icmt;ICMT
Ier3ip1;IER3IP1
Igbp1;IGBP1
Ik;IK
Ilf2;ILF2
Ilf3;ILF3
Ilkap;ILKAP
Ino80;INO80
Ints10;INTS10
Ints12;INTS12
Ipo5;IPO5
Ipo8;IPO8
Ipo9;IPO9
Iqsec1;IQSEC1
Isca2;ISCA2
Iscu;ISCU
Itch;ITCH
Iws1;IWS1
Jagn1;JAGN1
Jak1;JAK1
Josd1;JOSD1
Jtb;JTB
Kars;KARS
Kat8;KAT8
Kbtbd2;KBTBD2
Kcmf1;KCMF1
Kctd20;KCTD20
Kctd5;KCTD5
Kdelr1;KDELR1
Kdelr2;KDELR2
Kdm1a;KDM1A
Kdm2a;KDM2A
Kdm4b;KDM4B
Keap1;KEAP1
Khdrbs1;KHDRBS1
Khsrp;KHSRP
Kif1bp;KIF1BP
Klhdc10;KLHDC10
Kpna1;KPNA1
Kpna3;KPNA3
Kpna4;KPNA4
Kpna6;KPNA6
Kras;KRAS
Kxd1;KXD1
Lamp2;LAMP2
Lamtor1;LAMTOR1
Lamtor5;LAMTOR5
Larp1;LARP1
Larp4b;LARP4B
Lars;LARS
Lcmt1;LCMT1
Ldb1;LDB1
Lemd2;LEMD2
Leng1;LENG1
Leng8;LENG8
Lman1;LMAN1
Lman2;LMAN2
Lmf2;LMF2
Lonp1;LONP1
Lonp2;LONP2
Lrpap1;LRPAP1
Lrpprc;LRPPRC
Lrrc41;LRRC41
Lrrc59;LRRC59
Lsm1;LSM1
Lsm12;LSM12
Lsm14a;LSM14A
Lsm14b;LSM14B
Lsm4;LSM4
Ltv1;LTV1
Luc7l3;LUC7L3
Maea;MAEA
Magoh;MAGOH
Man1a2;MAN1A2
Map2k1;MAP2K1
Map2k2;MAP2K2
Mapk1;MAPK1
Mapk1ip1l;MAPK1IP1L
Mapk8ip3;MAPK8IP3
Mapre1;MAPRE1
March5;MARCH5
Mau2;MAU2
Max;MAX
Maz;MAZ
Mbd1;MBD1
Mbd2;MBD2
Mccc2;MCCC2
Mcmbp;MCMBP
Mcrs1;MCRS1
Mcts1;MCTS1
Mea1;MEA1
Mecp2;MECP2
Med10;MED10
Med13;MED13
Med19;MED19
Med21;MED21
Med25;MED25
Med28;MED28
Med4;MED4
Med9;MED9
Mepce;MEPCE
Mettl9;METTL9
Mfn2;MFN2
Mfsd14a;MFSD14A
Mgrn1;MGRN1
Mief1;MIEF1
Mkrn2;MKRN2
Mlec;MLEC
Mlf2;MLF2
Mmadhc;MMADHC
Morc2a;MORC2
Morf4l1;MORF4L1
Morf4l2;MORF4L2
Mphosph10;MPHOSPH10
Mrpl14;MRPL14
Mrpl17;MRPL17
Mrpl18;MRPL18
Mrpl22;MRPL22
Mrpl24;MRPL24
Mrpl28;MRPL28
Mrpl36;MRPL36
Mrpl37;MRPL37
Mrpl38;MRPL38
Mrpl39;MRPL39
Mrpl41;MRPL41
Mrpl43;MRPL43
Mrpl44;MRPL44
Mrpl49;MRPL49
Mrpl51;MRPL51
Mrpl57;MRPL57
Mrpl9;MRPL9
Mrps10;MRPS10
Mrps14;MRPS14
Mrps16;MRPS16
Mrps17;MRPS17
Mrps2;MRPS2
Mrps25;MRPS25
Mrps28;MRPS28
Mrps30;MRPS30
Mrps5;MRPS5
Mrps9;MRPS9
Mrto4;MRTO4
Msl1;MSL1
Msl2;MSL2
Mtch1;MTCH1
Mtdh;MTDH
Mtfr1l;MTFR1L
Mtor;MTOR
Mtpn;MTPN
Mycbp2;MYCBP2
Mydgf;MYDGF
Naca;NACA
Nap1l1;NAP1L1
Nap1l4;NAP1L4
Napa;NAPA
Napg;NAPG
Nars;NARS
Nat10;NAT10
Ncbp1;NCBP1
Ncbp2;NCBP2
Ncl;NCL
Ncoa5;NCOA5
Ndst1;NDST1
Ndufaf2;NDUFAF2
Ndufb8;NDUFB8
Nedd8;NEDD8
Nelfb;NELFB
Nfatc2ip;NFATC2IP
Nfx1;NFX1
Nfyb;NFYB
Ngdn;NGDN
Ngrn;NGRN
Nifk;NIFK
Nmd3;NMD3
Nmt1;NMT1
Nob1;NOB1
Nol7;NOL7
Nop14;NOP14
Nop9;NOP9
Nosip;NOSIP
Npepps;NPEPPS
Nploc4;NPLOC4
Nrbp1;NRBP1
Nsa2;NSA2
Nsmce1;NSMCE1
Nsmce4a;NSMCE4A
Nt5c2;NT5C2
Nucks1;NUCKS1
Nudc;NUDC
Nudt16l1;NUDT16L1
Nudt21;NUDT21
Nudt9;NUDT9
Nufip2;NUFIP2
Numa1;NUMA1
Nup133;NUP133
Nup153;NUP153
Nus1;NUS1
Nxf1;NXF1
Ogt;OGT
Os9;OS9
Osbp;OSBP
Ost4;OST4
Ostc;OSTC
Otub1;OTUB1
Otud4;OTUD4
Oxsr1;OXSR1
P4hb;P4HB
Pa2g4;PA2G4
Pabpn1;PABPN1
Pacs1;PACS1
Pacsin2;PACSIN2
Paf1;PAF1
Pafah1b1;PAFAH1B1
Pafah1b2;PAFAH1B2
Paip1;PAIP1
Park7;PARK7
Parn;PARN
Parp1;PARP1
Patl1;PATL1
Pbdc1;PBDC1
Pbx2;PBX2
Pcbp1;PCBP1
Pcbp2;PCBP2
Pcgf3;PCGF3
Pcif1;PCIF1
Pcmt1;PCMT1
Pcmtd2;PCMTD2
Pcsk7;PCSK7
Pcyox1;PCYOX1
Pcyt1a;PCYT1A
Pdap1;PDAP1
Pdcd6;PDCD6
Pdcd7;PDCD7
Pdia3;PDIA3
Pdia6;PDIA6
Pdpk1;PDPK1
Pds5a;PDS5A
Pdzd11;PDZD11
Pelp1;PELP1
Pfdn1;PFDN1
Pfdn2;PFDN2
Pgam5;PGAM5
Pgrmc2;PGRMC2
Phf12;PHF12
Phf5a;PHF5A
Phrf1;PHRF1
Pigh;PIGH
Pin1;PIN1
Pip5k1c;PIP5K1C
Pithd1;PITHD1
Plaa;PLAA
Pmpca;PMPCA
Pmpcb;PMPCB
Pno1;PNO1
Pnrc2;PNRC2
Pofut1;POFUT1
Pold2;POLD2
Pole3;POLE3
Polr1d;POLR1D
Polr2c;POLR2C
Polr2j;POLR2J
Polr2k;POLR2K
Polr3c;POLR3C
Pop7;POP7
Ppib;PPIB
Ppid;PPID
Ppp1cc;PPP1CC
Ppp1r11;PPP1R11
Ppp1r15b;PPP1R15B
Ppp1r37;PPP1R37
Ppp1r8;PPP1R8
Ppp2ca;PPP2CA
Ppp2cb;PPP2CB
Ppp2r1a;PPP2R1A
Ppp2r5a;PPP2R5A
Ppp2r5c;PPP2R5C
Ppp2r5e;PPP2R5E
Ppp5c;PPP5C
Ppp6c;PPP6C
Ppp6r1;PPP6R1
Ppp6r2;PPP6R2
Ppt1;PPT1
Pptc7;PPTC7
Prcc;PRCC
Prdm4;PRDM4
Prdx5;PRDX5
Preb;PREB
Prep;PREP
Prkaa1;PRKAA1
Prkar1a;PRKAR1A
Prkar2a;PRKAR2A
Prkcsh;PRKCSH
Prkra;PRKRA
Prpf18;PRPF18
Prpf19;PRPF19
Prpf38a;PRPF38A
Prps1l3;PRPS1
Prpsap1;PRPSAP1
Psma2;PSMA2
Psma5;PSMA5
Psma6;PSMA6
Psma7;PSMA7
Psmb1;PSMB1
Psmb2;PSMB2
Psmb4;PSMB4
Psmb6;PSMB6
Psmb7;PSMB7
Psmc1;PSMC1
Psmc3;PSMC3
Psmc5;PSMC5
Psmd1;PSMD1
Psmd10;PSMD10
Psmd11;PSMD11
Psmd12;PSMD12
Psmd14;PSMD14
Psmd3;PSMD3
Psmd4;PSMD4
Psmd5;PSMD5
Psmd6;PSMD6
Psmd7;PSMD7
Psmd8;PSMD8
Psme3;PSME3
Psmg2;PSMG2
Psmg3;PSMG3
Pten;PTEN
Ptpn11;PTPN11
Ptrh2;PTRH2
Puf60;PUF60
Pum2;PUM2
Purb;PURB
Pwp1;PWP1
Pwp2;PWP2
Qrich1;QRICH1
R3hcc1;R3HCC1
Rab11a;RAB11A
Rab11b;RAB11B
Rab14;RAB14
Rab1b;RAB1B
Rab2a;RAB2A
Rab35;RAB35
Rab3gap1;RAB3GAP1
Rab5a;RAB5A
Rab6a;RAB6A
Rab7;RAB7A
Rab9;RAB9A
Rabggtb;RABGGTB
Rabl6;RABL6
Rac1;RAC1
Rad21;RAD21
Rad23a;RAD23A
Rad23b;RAD23B
Rala;RALA
Ralbp1;RALBP1
Raly;RALY
Ranbp1;RANBP1
Ranbp10;RANBP10
Ranbp2;RANBP2
Ranbp9;RANBP9
Rangap1;RANGAP1
Rars2;RARS2
Rbck1;RBCK1
Rbm14;RBM14
Rbm17;RBM17
Rbm25;RBM25
Rbm4;RBM4
Rbm42;RBM42
Rbm8a;RBM8A
Rbmx2;RBMX2
Rbx1;RBX1
Rc3h2;RC3H2
Rer1;RER1
Rere;RERE
Rgp1;RGP1
Rhbdd2;RHBDD2
Rheb;RHEB
Rhot2;RHOT2
Ring1;RING1
Rmnd5a;RMND5A
Rnf113a2;RNF113A
Rnf139;RNF139
Rnf167;RNF167
Rnf168;RNF168
Rnf181;RNF181
Rnf20;RNF20
Rnf216;RNF216
Rnps1;RNPS1
Rpa1;RPA1
Rpa2;RPA2
Rpl15;RPL15
Rpl22;RPL22
Rpl35a;RPL35A
Rpl4;RPL4
Rpl7l1;RPL7L1
Rpn1;RPN1
Rpn2;RPN2
Rps19bp1;RPS19BP1
Rraga;RRAGA
Rrn3;RRN3
Rrp36;RRP36
Rrp7a;RRP7A
Rrp9;RRP9
Rsl24d1;RSL24D1
Rsrc2;RSRC2
Rtcb;RTCB
Rtf1;RTF1
Ruvbl1;RUVBL1
Sap18;SAP18
Sar1a;SAR1A
Sarnp;SARNP
Sars;SARS
Sart1;SART1
Sart3;SART3
Sav1;SAV1
Sbds;SBDS
Scaf1;SCAF1
Scyl1;SCYL1
Scyl2;SCYL2
Sdf4;SDF4
Sdhaf2;SDHAF2
Sec13;SEC13
Sec24b;SEC24B
Sec31a;SEC31A
Sec61b;SEC61B
Sec62;SEC62
Senp2;SENP2
Senp5;SENP5
Sephs1;SEPHS1
Serbp1;SERBP1
Serp1;SERP1
Setd5;SETD5
Sf1;SF1
Sf3a2;SF3A2
Sf3a3;SF3A3
Sf3b1;SF3B1
Sf3b2;SF3B2
Sf3b4;SF3B4
Sf3b5;SF3B5
Sf3b6;SF3B6
Sfpq;SFPQ
Sgta;SGTA
Sh2b1;SH2B1
Sh3gl1;SH3GL1
Sharpin;SHARPIN
Skp1a;SKP1
Slc25a11;SLC25A11
Slc25a28;SLC25A28
Slc25a3;SLC25A3
Slc25a5;SLC25A5
Slc30a5;SLC30A5
Slc30a9;SLC30A9
